Food,Associativity,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg CO2e),Ingredients
Soya flour Gobi stuffed paratha,1,"North,West","Breakfast,Lunch,Dinner",Veg,soy ,2 medium,393,235,16,24,7,8,0.3945,Cauliflower-15 gms; Onion-15 gms;  Ginger-4 gms; Cumin seeds-4 gms; chillies-15 gms; Coriander leaves-15 gms; Red chilli Powder-15 gms; Garam Masala-15 gms; Common salt-15 gms; Soya flour-250 gms; Atta-30 gms
DUMPLINGS (Veg),0,East,"Appetizer,Snacks",Veg,soy ,4 medium,255,115,4,22,1,4,0.25955,carrot-15 gms; CABBAGE-15 gms; Capsicum-15 gms; mushroom-15 gms; Garlic-7 gms; Ginger-7 gms; soya sauce-15 gms; Gingelly oil-7 gms; Onion-15 gms; Atta-125 gms; Common salt-4 gms; Chili Sauce-15 gms
Baked Vegetables,0,Continental,Appetizer,Veg,soy ,4 small,83,17,0,1,1,0,0.1584,Cauliflower-20 gms; carrot-20 gms;Capsicum-20 gms;Black Pepper-4 gms; Common salt-4 gms; Olive oil-15 gms
LETTUCE WRAP (Chicken),0,Continental,"Lunch,Dinner",Non-veg,soy ,1 medium,369,214,20,10,9,4,0.69985,Lettuce Leaf-20 gms; Chicken-70 gms; Tomato-120 gms; Cucumber-62 gms; Onion-30 gms; Coriander leaves-15 gms;Mint leaves-15 gms; Lemon-15 gms; soya sauce-15 gms; Sesame oil-7 gms
Soya Sizzler,6,Continental,"Lunch,Dinner",Veg,soy ,1 medium,567,305,28,21,10,9,0.658,Soyabean-30 gms; Ginger-15 gms;Garlic-15 gms; Cooking oil-7 gms; Capsicum-60 gms; Mushroom-20 gms; Onion-20 gms; Zucchini-20 gms; Tomato-120 gms; Cabbage-200 gms; Common salt-15 gms; Red chilli Powder-15 gms; Ginger powder-15 gms; Black pepper-15 gms; 
Fried Rice,5,Continental,"Lunch,Dinner",Veg,soy ,1 small bowl,585,1123,31,203,18,22,1.33045,Rice-250 gms; Mustard oil-15 gms; Onion-77 gms; Capsicum-62 gms; carrot-62 gms; Peas-62 gms; Garlic-20 gms; soya sauce-7 gms; Common salt-15 gms; Black pepper-15 gms; 
Soy Milk,12,Continental,Beverages,Veg,soy ,1 cup,125,324,33,9,17,19,0,Soya bean-125 gms; 
Soya Bhurji,2,"North,East,West",Dry Curry,Veg,soy ,4 medium katori,335,138,14,10,4,4,0.5235,Turmeric powder-15 gms; Cumin seeds-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Red chilli Powder-15 gms; Coriander Powder-15 gms; Onion-125 gms; Tomato-90 gms; Chillies-15 gms; Olive oil-15 gms
Chicken sizzler,0,Continental,Appetizer,Non-veg,soy ,1 medium bowl,759,271,9,19,18,13,2.46825,Chicken-300 gms; Sunflower oil-15 gms; Garlic-15 gms;  Zucchini-125 gms; Mushroom-125 gms; carrot-125 gms; soya sauce-15 gms; VINEGAR-15 gms; Black pepper-24 gms
Rajma Chaat,11,"North,East,West",Snacks,Veg,soy ,1 medium katori,343,551,36,94,2,2,0.2965,RAJMA-250 gms; CUCUMBER-15 gms; Tomato-15 gms; Chillies-4 gms; Coriander leaves-15 gms; Lemon-7 gms; Common salt-7 gms; Chat Masala-15 gms; Cumin Powder-15 gms
Saute Tofu,0,Continental,Appetizer,Veg,soy ,1 medium katori,389,264,22,17,9,7,0.7545,Common salt-15 gms; Coriander leaves-15 gms; Tofu-150 gms; Red chilli Powder-15 gms;Onion-125 gms; Garlic-15 gms; Chillies-24 gms; Coriander Powder-15 gms; Turmeric powder-15 gms
CHILLI CHICKEN,6,East,Appetizer,Non-veg,soy ,1 medium katori,374,298,16,10,20,3,0.82375,Chicken-60 gms; soya sauce-15 gms; VINEGAR-7 gms; Ginger-15 gms;Garlic-15 gms; Chillies-7 gms; Onion-60 gms; Capsicum-150 gms;  Common salt-15 gms; Coriander leaves-15 gms; ; Olive oil-15 gms
Soya granules,2,"North,South,East,West",Dry Curry,Veg,soy ,3 small,315,331,21,42,9,19,0.465,Common salt-15 gms; Ginger-1 slice; Black pepper-7 gms; CURRY LEAVES-5 gms; CORIANDER-30 gms; Cooking oil-15 gms; Onion-60 gms; Ginger-7 gms; Cumin seeds-7 gms; Chillies-4 gms; CORIANDER LEAVES-15 gms; Soya Granules-150 gms
Chicken Rice,5,"North,South,East,West","Lunch,Dinner",Non-veg,soy ,1 medium bowl,422,352,15,51,10,2,1.574,Onion-120 gms; Ginger-5 gms;Garlic-5 gms; Cooking oil-2 gms; Common salt-15 gms; Black pepper-15 gms; Rice-60 gms; Chicken-200 gms
Gravy tofu,2,"North,East,West",Dry Curry,Veg,soy ,1 medium katori,592,503,18,22,35,7,1.57565,Common salt-15 gms; Black pepper-15 gms; Cooking oil-30 gms; Onion-100 gms;Garlic-2 gms; Ginger-5 gms; Capsicum-100 gms; MUSHROOM-250 gms; soya sauce-15 gms; Tofu-150 gms
Masala Tofu,2,"North,East,West",Dry Curry,Veg,soy ,1 medium katori,317,146,10,15,4,5,0.6667,Common salt-15 gms; Onion-10 gms;Garlic-2 gms; Ginger-7 gms; Tomato-120 gms; CORIANDER leaves-15 gms; TURMERIC powder-7 gms; Tofu-150 gms
Soya Roti Roll (Broccoli & Tofu),0,"North,East,West","Breakfast,Lunch,Dinner",Veg,soy ,1 medium,440,550,36,27,33,12,0.83775,Cumin seeds-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Soya flour-75 gms; Broccoli-125 gms; Tofu-150 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms
Smoothie (Soya Milk),12,Continental,Beverages,Veg,soy ,1 glass,509,131,5,7,9,3,0.179,Papaya-150 gms; ORANGE-90 gms; Almond-4 gms; PUMPKIN SEED-15 gms; Soya Milk-250 gms
Tofu Salad,0,"Continental,North,South,East,West",Appetizer,Veg,soy ,1 small bowl,169,66,3,6,2,6,0.1688,CUCUMBER-62 gms; Capsicum-62 gms; CORIANDER-15 gms; Lemon-15 gms; Tofu-15 gms
Soya Chunks Salad,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,soy ,1 small bowl,1202,333,22,50,3,18,1.4037,CUCUMBER-250 gms; carrot-250 gms; Tomato-120 gms; Capsicum-250 gms; Lemon-5 gms; Common salt-7 gms; Black pepper-15 gms; Parsley-5 gms; Soya Chunks-300 gms
Noodles Tofu Sizzler,0,Continental,"Lunch,Dinner",Veg,soy ,1 medium,452,381,12,73,3,7,0.91945,Common salt-7 gms; Lettuce Leaf-75 gms; Capsicum-75 gms; Onion-70 gms; Mint leaves-15 gms; Ginger-15 gms; Garlic-15 gms; Cumin seeds-15 gms; Coriander seeds-15 gms; Rice Noodles-150 gms
Nutri matar (soya) Vegetable,2,"North,East,West",Dry Curry,Veg,soy ,1 small bowl,352,204,11,23,7,6,0.4773,Peas-62 gms; Tomato-120 gms; Onion-50 gms; Cumin seeds-4 gms; Turmeric powder-4 gms; Common salt-7 gms; Cooking oil-15 gms; Coriander leaves-15 gms; Soya Chunks-75 gms
Soya Sprouts Salad,0,"Continental,North,South,East,West",Appetizer,Veg,soy ,2 small bowl,952,145,8,25,1,7,0.6897,CUCUMBER-250 gms; carrot-250 gms; Capsicum-250 gms; Lemon-5 ml; Common salt-7 gms; Black pepper-15 gms;Parsley-15 gms; Brussels sprouts-15 gms; Soyabean-150 gms
Lettuce wrap with Vegetables,0,Continental,"Lunch,Dinner",Veg,soy ,1 medium,245,173,8,19,5,7,0.3378,MUSHROOM-60 gms; Spinach-60 gms; Onion-30 gms; Capsicum-75 gms; carrot-1 gms; Garlic-5 gms; Common salt-0.5 gms; Black pepper-0.5 gms;Parsley-4 gms
BEANS/CHINESE BEANS,2,"North,East,West,South",Dry Curry,Veg,soy ,1 medium katori,300,171,5,11,11,8,0.31725,Beans-125 gms; Onion-100 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Mustard oil-30 gms; Common salt-15 gms
Vegetables In Black Bean Sauce,0,Continental,"Lunch,Dinner",Veg,soy ,1 medium katori,194,147,9,19,1,12,0.14485,Garlic-1 gms; Ginger-1 gms; Capsicum-15 gms; carrot-1 gms; MUSHROOM-1 gms; Zucchini-50 gms; Onion-80 gms; soya sauce-15 gms; Common salt-15 gms; Black pepper-15 gms
Vietnamese cold Spring Roll,0,Continental,Appetizer,Veg,soy ,2 number,264,42,3,7,1,2,0.2026,Lettuce Leaf-20 gms; Mint leaves-15 gms; CORIANDER-15 gms; carrot-62 gms; Capsicum-62 gms; CUCUMBER-62 gms; soya sauce-4 gms; VINEGAR-4 gms; Rice paper-20 gms
Soya wrap,0,Continental,"Lunch,Dinner",Veg,soy ,1 medium,1003,246,16,29,6,15,0.924,Lettuce leaf-60 gms; Tomato-250 gms; CUCUMBER-250 gms; Capsicum-250 gms; Cumin seeds-4 gms; Chillies-4 gms; Common salt-15 gms; Black pepper-15 gms; Lemon-5 gms; Soya-150 gms
Shredded Chicken with Soya Sauce,8,Continental,Gravy,Non-veg,soy ,4 small bowl,405,220,22,7,13,0,1.98,HONEY-15 gms; Common salt-15 gms; Chicken-300 gms; soya sauce-30 gms; Vinegar-15 gms; Sesame Oil-15 gms; Garlic-15 gms
Rice Flour Wrap with Tofu And Veggie,0,"North,East,West","Lunch,Dinner",Veg,soy ,2 medium,610,281,7,44,7,3,1.7505,Rice Flour-150 gms;  Common salt-15 gms; Cumin seeds-15 gms; Ajwain-15 gms; Red chilli Powder-15 gms; Olive oil-15 gms; Tofu-350 gms; Capsicum-10 gms; Onion-10 gms; CABBAGE-10 gms; Coriander Powder-5 gms
Soya Tikki,6,"North,East,West",Appetizer,Veg,soy ,2 medium,1070,275,28,40,1,11,0.8665,Soya Granules-150 gms; POTATO-700 gms; Onion-125 gms; Ginger powder-15 gms; Garlic powder-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Common salt-15 gms; Olive oil-15 gms
Soya Flour Gobhi Stuffed Paratha,1,"North,East,West","Lunch,Dinner",Veg,soy ,2 number,465,238,20,17,10,7,0.3975,Ginger powder-15 gms; Chillies-15 gms; Coriander Powder-5 gms; Common salt-15 gms; Coriander leaves-15 gms; Soya flour-250 gms; Cauliflower-150 gms; 
Saute Tofu,0,Continental,Appetizer,Veg,soy ,2 cup,151,51,5,2,3,1,0.4503,Tofu-150 gms; Onion-1 gms
Soya Flour Cheela,1,"North,East,West","Lunch,Dinner,Breakfast",Veg,soy ,1 medium,685,582,35,36,33,11,0.7965,Soya flour-250 gms;Onion-125 gms; Tomato  tomato; Capsicum-250 gms; Chillies-15 gms; Ginger powder-15 gms; Common salt-15 gms; Olive oil-15 gms
Tofu Tikka Saute in Green Chutney,0,"North,East,West",Appetizer,Veg,soy ,1 small katori,385,449,29,15,29,10,1.014,Tofu-250 gms; Coriander leaves-15 gms;Mint leaves-15 gms; Chillies-15 gms; Ginger-15 gms;Garlic-15 gms; Cumin seeds-15 gms; Chat Masala-15 gms; Common salt-15 gms; Olive oil-15 gms
Soya Flour Cheela,1,"North,West","Lunch,Dinner",Veg,soy ,1 medium,540,310,9,20,22,8,0.8125,Onion-125 gms; Tomato-90 gms; Capsicum-250 gms; Chillies-15 gms; Turmeric powder-15 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-15 gms
Avocado Toast 2,0,Continental,Breakfast,Veg,soy ,1 medium,530,531,10,39,38,14,0.559,Avocado-180 gms; Bread-50 gms; Black Pepper-15 gms; Tomato-90 gms; Onion-150 gms; Lemon-15 gms; Olive oil-15 gms;Parsley-15 gms
Crispy Prawn Rolls,0,East,Appetizer,Non-veg,shellfish ,1 small,184,124,10,5,6,1,0.66725,Shrimp-75 gms; Onion-15 gms; soya sauce-15 gms; Common salt-15 gms;Black Pepper-4 gms; Cooking oil-15 gms; Lemon-15 gms; Garlic powder-15 gms; Ginger powder-15 gms
Prawn Masala Dumpling,6,Continental,Snacks,Non-veg,shellfish ,3 number,105,75,4,10,2,0,0.246,Shrimp-30 gms; Onion-20 gms;  Cooking oil-15 gms; Wheat-40 gms
Sesame Chicken Salad,0,"Continental,North,South,East,West","Lunch,Dinner",Non-veg,sesame ,1 medium bowl,495,274,27,17,9,3,0.8125,Chicken-100 gms; Lettuce Leaf-80 gms; CABBAGE-80 gms; carrot-50 gms; CUCUMBER-50 gms; Capsicum-50 gms; Onion-60 gms; Common salt-15 gms; Ginger-5 gms;Garlic-5 gms
Fish Fingers (Grilled / Roasted ),6,Continental,Appetizer,Non-veg,fish,1 medium,453,512,27,51,19,8,1.18375,fish-70 gms; Turmeric powder-4 gms; Lemon-7 gms; Ginger-15 gms; Garlic-15 gms; Common salt-7 gms; Cooking oil-15 gms; Cumin seeds-15 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Rice Flour-150 gms; Besan-125 gms
Prawn Cutlet,6,Continental,Appetizer,Non-veg,seafood ,3 small,117,34,4,3,0,0,0.3904,Shrimp-60 gms; POTATO-20 gms; Onion-7 gms; Turmeric powder-4 gms;Lemon-4 gms; Coriander leaves-15 gms; Common salt-7 gms
Rice milk,12,Continental,Beverages,Veg,rice ,1 glass,129,214,5,47,0,2,0.5004,Common salt-4 gms; Rice-125 gms
CHICKEN SALAMI SALAD,0,Continental,"Lunch,Dinner",Non-veg,pork ,1 small bowl,422,578,53,7,37,0,1.7388,Common salt-15 gms; carrot-60 gms; Capsicum-20 gms; Lettuce Leaf-20 gms; Lemon-15 gms; Coriander leaves-0.5 gms; Mint leaves-7 gms; Chicken-250 gms; Olive oil-15 gms; Garlic powder-15 gms
CHICKEN SAUSAGES SALAD,0,Continental,"Lunch,Dinner",Non-veg,pork ,1 small bowl,424,593,54,10,37,0,1.7416,Common salt-15 gms; carrot-60 gms; Capsicum-20 gms; Lettuce Leaf-20 gms; Lemon-15 gms; Coriander leaves-7 gms;Mint leaves-7 gms; Chicken-250 gms; Olive oil-15 gms; Garlic powder-15 gms
Chicken Salami Toast,9,Continental,"Snacks,Breakfast",Non-veg,pork ,2 medium,452,138,8,20,2,1,0.6036,Bread-60 gms; Chicken Salami-10 gms;Onion-125 gms; Tomato-90 gms; Capsicum-150 gms; Red chilli Powder-15 gms; Turmeric powder-1 gms; Common salt-1 gms
Sabudana Cutlet/Tikki,6,"North, South",Appetizer,Veg,peanut ,1 number,113,372,5,68,8,5,0.1815,Sabudana-62 gms; Ginger powder-7 gms; Coriander leaves-7 gms; Red Chilli Powder-7 gms; Common salt-15 gms; Cooking Oil-15 gms
Chicken Satay,0,Continental,Appetizer,Non-veg,peanut ,4 number,651,473,35,9,34,2,2.1717,Chicken-60 gms; Lemon-15 gms; Turmeric powder-15 gms; Cumin seeds-15 gms; Yoghurt-15 gms; Garlic powder-15 gms; Red chilli Powder-7 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Common salt-7 gms; Olive oil-15 gms; Peanuts-200 gms; milk-250 gms ; Ginger powder-7 gms
Coconut Chutney,13,South,"Breakfast,Lunch,Dinner",Veg,peanut ,2 tbsp,37,60,1.3,4.9,4.4,1.7,0.3452,Salt-0.34 gms; Chickpeas-6.75 gms; Chillies-0.45 gms; Cooking Oil-1 gms; Mustard-0.4 gms; Coconut-9 gms 
Sabudana Khichdi,9,"North,South",Breakfast,Veg,peanut ,1 small bowl,125,156,3,22,5,9,0.1758,Tapioca-62 gms; Common salt-15 gms; Cumin seeds-4 gms; Curry leaves-5 gms; POTATO-10 gms; Lemon-7 gms; CORIANDER-15 gms; Cooking oil-7 gms
Sabudana Vada,11,"North,East,West",Snacks,Veg,peanut ,10 medium,202,32,0,3,2,1,0.345,Tapioca-125 gms; POTATO-10 gms; Cumin seeds-7 gms; CORIANDER-15 gms; Common salt-15 gms; Lemon-15 gms; Cooking oil-15 gms
Masala Onion Salad,0,"North,South,East,West",Appetizer,Veg,onion ,1 small bowl,180,48,1,8,0,2,0.138,Chillies-15 gms; Common salt-7 gms; Coriander leaves-7 gms; Lemon-15 gms; Cumin seeds-7 gms; Chillies-4 gms; Onion-125 gms
"BELL PEPPER, ONION & TOMATO VegETABLE",0,Continental,"Lunch,Dinner",Veg,onion ,1 medium katori,555,250,5,18,16,9,0.774,Capsicum-70 gms; Onion-90 gms; Tomato-120 gms; Turmeric powder-15 gms; Mustard oil-30 gms; Coriander leaves-15 gms; Common salt-15 gms; Capsicum-200 gms
Roasted Makhana (Foxnuts),11,East,Snacks,Veg,nut ,1 medium katori,299,139,5,28,1,3,0.388,Makhana-250 gms; Common salt-15 gms;Black Pepper-4 gms; Chat Masala-15 gms; Cumin seeds-15 gms
Hummus,0,Continental,"Lunch,Dinner",Veg,nut ,1 tbsp,122,349,13,30,18,9,0.2062,Gram dal-60 gms;Garlic-10 gms; Lemon-15 gms; Common salt-7 gms; Olive oil-15 gms; Cumin Powder-15 gms
Almond Flour Wrap,0,Continental,"Lunch,Dinner",Veg,nut ,1 medium,291,640,23,23,53,12,0.7818,Common salt-15 gms; Onion-1 gms;Roti-100 gms; Egg-130 gms ; Garlic Powder-15 gms;  Black pepper-15 gms; Olive oil-15 gms
Oats Porridge,9,Continental,Breakfast,Veg,nut ,2 medium katori,430,174,8,27,5,4,0.874,Oats-150 gms; Milk-250 gms; Cinnamon-15 gms; Common salt-15 gms 
MIX NUTS RAITA,4,Continental,Appetizer,Veg,nut ,1 medium katori,313,230,10,12,16,5,0.7974,Yoghurt-250 gms; Almond-10 gms; RAISINS-4 gms; Common salt-4 gms; Coriander leaves-15 gms; Black pepper-15 gms; Cumin seeds-15 gms
Rajma Kebab,6,"North,East,West",Appetizer,Veg,nut ,4 number,184,92,5,12,3,5,0.1742,Rajma-80 gms; carrot-15 gms; Potato-30 gms; Peas-15 gms; Common salt-7 gms; Coriander leaves-15 gms; Cooking oil-7 gms; Cumin seeds-15 gms
Bhel (no papri),11,"North,East,West",Snacks,Veg,nut ,1 medium katori,520,935,21,196,5,11,1.267,Rice-250 gms; Onion-15 gms; Tomato-120 gms; Cucumber-15 gms; carrot-15 gms; Potato-15 gms; Coriander leaves-30 gms; Common salt-15 gms; Lemon-15 gms; Chat Masala-15 gms; Cumin seeds-15 gms
Veg Seeds Salad,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,nut ,1 medium bowl,293,288,14,23,15,5,0.19085,Lettuce Leaf-80 gms; CUCUMBER-60 gms; Onion-30 gms; carrot-30 gms; Capsicum-30 gms; Sunflower seeds-15 gms; PUMPKIN SEED-15 gms;Garlic-3 gms; Common salt-15 gms; Black pepper-15 gms
Steam Vegetable Salad,0,"Continental,North,South,East,West",Appetizer,Veg,nut ,1 medium bowl,577,88,3,14,0,5,0.4714,carrot-60 gms; Lemon-15 gms; Zucchini-195 gms; Capsicum-150 gms; Onion-120 gms; Cumin seeds-15 gms; Turmeric powder-7 gms; Red chilli Powder-7 gms; Coriander Powder-7 gms; Coriander leaves-1 gms
FRUIT & NUTS (WALNUT & ALMOND) SALAD,0,"Continental,North,South,East,West",Breakfast,Veg,nut ,1 small bowl,292,320,7,45,12,10,0.2132,Apple-90 gms; Grapes-62 gms; Almond-5 gms; PUMPKIN-15 gms; Sunflower seeds-15 gms; strawberry-105 gms
CHICKEN SALAD WITH ALMOND HONEY MUSTARD DRESSING,0,Continental,"Lunch,Dinner",Non-veg,nut ,1 small bowl,437,982,112,8,55,2,1.7898,Common salt-15 gms; carrot-60 gms; Capsicum-20 gms; Capsicum-20 gms; Lettuce Leaf-20 gms; Coriander leaves-7 gms; Mint leaves-2.5 gms; Almond-5 gms; HONEY-0.5 gms; Chicken-250 gms; Olive oil-15 gms; Garlic powder-15 gms
Almond Soup,0,Continental,Appetizer,Veg,nut ,4 medium bowl,1075,223,8,12,18,6,0.6586,Common salt-15 gms; Almonds-250 gms; Onion-125 gms; garlic-5 gms; Celery-150 gms; Broth-500 gms; thyme-15 gms; Parsley-15 gms
ALMOND MUSHROOM SOUP,0,Continental,Appetizer,Veg,nut ,1 medium bowl,187,192,8,7,15,3,0.5175,Almond-10 gms; MUSHROOM-62 gms; Common salt-15 gms; Milk-100 gms
Oats Smoothie,12,Continental,Beverages,Veg,nut ,1 glass,500,224,9,36,6,5,0.995,Banana-100 gms; Oats-150 gms; Almond Milk-250 gms
Smoothie (Almond Milk),12,Continental,Beverages,Veg,nut ,1 cup,615,192,4,39,5,9,1.1905,Chia Seeds-15 gms; Almond Milk-250 gms; Pineapple-100 gms; Mango-250 gms
Kala Chana Soup,0,"North,South,East,West",Appetizer,Veg,nut ,4 medium bowl,614,115,5,18,2,5,0.3505,Cumin seeds-15 gms; Chickpeas-350 gmsTurmeric powder-15 gms; ;Onion-160 gms; Tomato-0.5 medium tomato; Garlic powder-7 gms; Ginger powder-7 gms; Coriander Powder-15 gms; Garam Masala-15 gms; Olive oil-15 gms; Coriander leaves-15 gms
Papaya Salad (raw papaya),0,"Continental,North,South,East,West","Lunch,Dinner",Veg,nut ,1 medium bowl,530,255,4,9,22,1,0.56325,Papaya-75 gms; carrot-60 gms; Common salt-15 gms; Chillies-15 gms; Coriander leaves-15 gms;Cucumber-200 gms; Onion-60 gms; Peanut-75 gms; Olive oil-15 gms
Pineapple & spinach salad,0,"Continental,North,South,East,West",Appetizer,Veg,nut ,1 medium bowl,423,146,4,25,4,5,0.2902,Spinach-150 gms; Common salt-7 gms; Black pepper-7 gms; Pineapple-250 gms; Walnut-9 gms
Foxtail Millet Pulao,5,"North,East,West","Lunch,Dinner",Veg,nut ,4 small bowl,449,254,8,40,6,6,0.6015,Capsicum-150 gms; carrot-75 gms; Peas-75 gms; Onion-50 gms; Cumin seeds-15 gms; Common salt-15 gms; Ginger-1 piece; CLOVES-2 gms; Coriander Leaves-15 gms; Millets-200 gm; Tomato  tomato; Chillies-15 gms; Turmeric powder-7 gms; Coriander Powder-15 gms; Cooking oil-15 gms
ALMOND FLOUR ROTI (20% almond flour + 80% wheat flour),1,"North,East,West","Lunch,Dinner",Veg,nut ,1 medium,107,385,11,48,17,12,0.0975,Atta-80 gms; Yoghurt-7 gms; Almond Flour- 20 gms 
ALMOND FLOUR ROTI (50% almond flour + 50% oats flour),1,"North,East,West","Lunch,Dinner",Veg,nut ,1 medium,365,340,10,33,20,6,0.2,"Almond Flour-100 gms; Oats-150 gms; Common salt-15 gms, Atta-100 gms"
ALMOND FLOUR ROTI (100% almond flour),1,"North,East,West","Lunch,Dinner",Veg,nut ,1 medium,200,33,1,1,0,0,0.16,ALMOND FLOUR-200 gms
ALMOND SOUP (WITH ALMOND MILK),0,Continental,"Lunch,Dinner",Veg,nut ,1 medium bowl,350,328,16,22,21,10,0.8515,Almond-10 gms; Peas-125 gms; Common salt-15 gms; Almond Milk-200 gms
Almond roti (50% almond flour and 50% normal atta),1,"North,East,West","Lunch,Dinner",Veg,nut ,1 medium,300,112,4,12,5,1,0.12,Wheat-150 gms; Almond flour-150 gms
Nuts and seeds salad,0,Continental,"Lunch,Dinner",Veg,nut ,1 medium bowl,629,1385,40,28,125,16,1.69275,Almond-25 gms; Fig-25 gms; PUMPKIN SEED-30 gms; Sunflower seeds-30 gms; Lemon-10 gms; Lettuce leaf-4 gms; Cucumber-200 gms; Common salt-15 gms; Black pepper-15 gms; Walnut-275 gms
Coffee with Almond Milk (No Sugar),12,"North,South,East,West",Beverages,Veg,caffeine ,1 glass,265,48,1,2,3,0,1.1225,Almond Milk-250 gms; coffee-15 gms
Almond Flour Roti,1,"North,East,West","Lunch,Dinner",Veg,nut ,5 medium,522,149,4,4,13,2,0.4907,Almond flour-500 gms; Common salt-7 gms; Olive oil-15 gms
Cashew Milk,12,"North,South,East,West",Beverages,Veg,nut ,3 cup,550,292,9,13,23,2,2.09,Cashew-250 gms; Milk-300 gms
Apple Walnut Salad,0,Continental,"Lunch,Dinner",Veg,nut ,1 small bowl,177,338,6,9,13,5,0.0956,Apple-150 g; Pomegranate-20 gms; Lemon-7 gms; Common salt-15 gms; Black Pepper-15 gms; Lettuce Leaf-60 gms; Spinach-60 gms
APPLE STEW,0,Continental,Breakfast,Veg,nut ,2 cup,893,143,1,37,1,5,0.10248,Apple-800 gms; HONEY-60 gms; Cinnamon-7 gms; NUTMEG-4 gms; Ginger powder-7 gms; Lemon-15 gms
Mixed fruit salad,0,"Continental,North,South,East,West",Breakfast,Veg,nut ,1 medium bowl,794,222,3,48,1,12,0.52525,Apple-200 gms; Pear-178 gms; Banana-101 gms; Grapes-150 gms; Strawberries-75 gms; Blueberries-75 gms; Mint leaves-15 gms
Chicken Minced Salad,0,Continental,Appetizer,Non-veg,nut ,2 medium bowl,420,114,1,9,8,3,0.5955,Olive oil-15 gms; Common salt-15 gms; Chicken-20 gms; Onion-160 gms; Tomato-120 gms; Cucumber-25 gms; Chillies-15 gms; Ginger-15 gms; Coriander Powder-5 gms; Garam Masala-15 gms; Coriander leaves-15 gms
Papaya Shake with Almond Milk,12,"North,South,East,West",Beverages,Veg,nut ,2 glass,850,78,2,3,7,3,2.0475,Papaya-350 gms; Almond Milk-500 gms
Broccoli Soup with coconut milk,0,"North,South,East,West",Appetizer,Veg,nut ,1 medium,885,191,1,14,15,1,0.1905,"Broccoli-400 gms; Coconut milk-250 gms, Olive oil-15 gms; Onion-125 gms;Garlic-5 gms; POTATO-90 gms "
Apple Walnut Salad 2,0,Continental,"Lunch,Dinner",Veg,nut ,2 medium bowl,228,375,5,12,35,3,0.1492,Apple-200 gms; Walnut-11 gms; Olive oil-15 gms; HONEY-1 gms; Black pepper-1 gms
Roated Chickpeas,11,"North,East,West",Snacks,Veg,nut ,1 medium katori,225,281,17,39,5,25,0.324,Chickpeas-150 gms; Cumin Powder-15 gms; Paprika powder-15 gms; Garlic Powder-15 gms; Common salt-15 gms; Black pepper-15 gms
Safed Matar with no oil,2,"North,East,West,South",Dry Curry,Veg,nut ,4 cup,592,179,10,33,0,4,0.6175,Peas-250 gms; Tomato-120 gms; Chillies-15 gms; Cumin seeds-15 gms; Coriander Powder-5 gms; Turmeric powder-7 gms; Garam Masala-15 gms; Coriander leaves-5 gms;Onion-160 gms
Safed Matar Masala (No Oil),2,"North,East,West,South",Dry Curry,Veg,nut ,2 medium katori,360,33,1,6,0,3,0.5735,Onion-125 gms; Tomato-90 gms; Chillies-15 gms; Cumin seeds-15 gms; Coriander Powder-55 gms; Turmeric powder-15 gms; Garam Masala-15 gms; Common salt-15 gms; Coriander leaves-15 gms
Coffee with Almond Milk,12,"North,South,East,West",Beverages,Veg,"nut ,caffeine",2 glass,512,20,1,4,1,1,0.91,Almond Milk-250 gms; Brewed Coffee-240 gms; Cinnamon-7 gms; HONEY-15 gms
Almonds and Walnut Raita,4,Continental,Appetizer,Veg,nut,1 medium katori,310,351,13,11,29,4,0.8335,Almond-15 gms; WALNUT-15 gms; Yoghurt-250 gms; Coriander leaves-15 gms;  Black pepper-15 gms
Suji Halwa,0,"North,East,West",Snacks,Veg,nut,1 medium bowl,95,365,6,85,1,2,0.1275,Semolina-75 gms; JAGGERY-0.5 gms; CARDAMOM-15 gms
Baked sweet potatoes,9,Continental,Breakfast,Veg,no-allergies,1 medium bowl,267,574,4,75,27,13,0.542,Sweet potato-200 gms ; Black pepper-7 gms; Olive oil-15 gms;Parsley-15 gms; Butter-15 gms; Garlic Powder-15 gms
Bajra Cheela,1,"North,West","Breakfast,Lunch",Veg,no-allergies,2 medium,340,113,3,17,4,3,0.17875,carrot-50 gms; Coriander leaves-15 gms; Chillies-10 gms; Mustard oil-15 gms; Common salt-15 gms;Onion-160 gms; Bajra flour-75 gms
Rice idli,14,South ,"Breakfast,Lunch,Dinner",Veg,no-allergies,5 number,158,66,2,13,0,1,0.38225,Rice-75 gms; Fenugreek seeds-4 gms; Rice bran oil-4 gms; Urad Dal Flour-75 gms
