Food,Associativity,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg CO2e),Ingredients
Shredded Chicken Wrapped (wrap),0,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium,650,959,75,65,45,16,1.605,Chicken-180 gms; Tomato-180 gms; Onion-125 gms; Avocado-150 gms; Olive oil-15 gms
Masoor Dal,"2,8","North,East,West","Dry Curry, Gravy",Veg,no-allergies,5 medium katori,679,217,11,31,4,7,0.4182,Gram dal-250 gms; ONION-120 gms; Tomato- 240 gms; Garlic-6 gms; Ginger-4 gms; Chillies-2 gms; Turmeric powder-7 gms; Cumin seeds-24 gms; Common salt-5 gms; Cooking oil-15 gms; Coriander seeds-1 gms; Chillies-1.5 gms
Mattar ki sabzi,2,"North,East,West",Dry Curry,Veg,no-allergies,1 medium katori,297,305,14,16,18,21,0.4689,Onion-1 gms; Tomato-240 gms; Garlic-2 gms; Ginger-4 gms; Chillies-3 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Cooking oil-15 gms; Common salt-15 gms; Coriander leaves-3 gms
Apple and Sprouts Salad,0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,1 medium bowl,424,150,6,24,4,7,0.2225,Apple-200 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms; Moong dal-150 gms; Lettuce Leaf-20 gms; Walnut-9 gms
Caesar Salad,0,Continental,Appetizer,Veg,no-allergies,1 medium bowl,145,116,6,12,5,4,0.0905,Lettuce Leaf-100 gms; Lemon-5 gms; Garlic-5 gms; HONEY-5 gms; Common salt-15 gms; Black pepper-15 gms
TOMATO & CUCUMBER SALAD,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,402,232,11,12,16,5,0.40025,Tomato-240 gms; CUCUMBER-100 gms; Lettuce Leaf-2 gms; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Lemon-15 gms; Common salt-15 gms
POTATO SALAD,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,492,994,45,141,25,84,1.01285,POTATO-2 gms; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Common salt-15 gms; Curd-150 gms; Black pepper-250 gms; Red chilli Powder-15 gms; Onion-15 gms; Garlic powder-15 gms
Avocado Salad,0,Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,485,492,15,15,42,15,0.59225,Tomato-240 gms; CUCUMBER ; Lettuce Leaf-20 gms; Avocado-150 gms ; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Lemon-15 gms; Common salt-15 gms; Olive oil-15 gms
Veg & FRUIT SALAD,0,"Continental,North,South,East,West",Breakfast,Veg,no-allergies,1 small bowl,599,476,15,51,23,14,0.46875,Lettuce Leaf-20 gms; Capsicum-150 gms; carrot-60 gms; CUCUMBER-70 gms; Apple-200gms; Almond-5 gms; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Plum-55 gms; Walnut-9 gms
QUINOA SALAD,0,"Continental,North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,155,244,9,40,3,11,0.1133,Quinoa-62 gms; carrot-1 gms; Zucchini-62 gms; CUCUMBER-0.5 medium; Lemon-15 gms; Common salt-15 gms
MILLETS SALAD,0,"Continental,North,South,East,West",Appetizer,Veg,no-allergies,4 cup,465,71,2,14,1,1,0.0465,carrot-10 gms; Zucchini-25 gms; CUCUMBER-100 gms; Lemon-15 gms; Common salt-15 gms; Millets-300 gms
Soya wheat bran Roti (50% wheat bran & 50% soya flour),1,"North,East,West","Breakfast,Lunch,Dinner",Veg,no-allergies,1 medium,305,503,30,66,12,15,0.1065,Soya flour-5 tablespoon; Common salt-15 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Warm Water-200 gms; Wheat Flour-Atta)-60 gms)
Risotto With Additional Dressing(Corn),0,Continental,Dinner,Veg,no-allergies,1 medium,149,83,3,15,0,5,0.148,Babycorn-15 gms; Onion-62 gms;Garlic-7 gms; MUSHROOM-15 gms; Peas-15 gms; Common salt-15 gms; Black pepper-15 gms;Parsley-5 gms
Herbal Tea,12,East,Beverages,Veg,no-allergies,1 cup,24,0,0,0,0,0,0.072,Tea-24 gms
Non-veg SOUP,0,Continental,"Lunch,Dinner",Non-veg,no-allergies,1 medium bowl,649,470,30,54,12,37,1.20765,carrot-60 gms; Onion-120 gms;Garlic-4 gms; Ginger-5 gms; Peas-125 gms; Beans-125 gms; Black pepper-62 gms; Cooking oil-15 gms; Common salt-15 gms; Coriander leaves-4 gms; Chicken-100 gms; Cumin seeds-7 gms; Coriander seeds-7 gms
