code,name,tags
tarac,Tartaric acid,organic acid dihydroxybutanedioic dihydroxysuccinic threaric racemic uvic paratartaric white crystalline crystal powder
dhbenzac34,"3,4-Dihydroxy Benzoic acid",34 dihydroxybenzoic polyphenol polyphenol poly phenol phenolic phytochemical phyto
hbenzal3,3-Hydroxy Benzaldehyde,Hydroxybenzaldehyde aldehyde polyphenol polyphenol poly phenol phenolic phytochemical phyto
pcathac,Protocatechuic acid,pca protocatechuate dihydroxybenzoic dihydroxy benzoic polyphenol polyphenol poly phenol phenolic phytochemical phyto light brown solid
vanlac,Vanillic acid,dihydroxybenzoic dihydroxy benzoic vanillin hydroxy methoxybenzoic anisic vanillate polyphenol polyphenol poly phenol phenolic aromatic phytochemical phyto white light yellow powder crystalline crystal
gallac,Gallic acid,trihydroxybenzoic trihydroxy benzoic polyphenol polyphenol poly phenol phenolic aromatic phytochemical phyto white yellow pale fawn crystalline crystal
cinmac,Cinnamic acid,phenylprop enoic phenylacrylic cinnamylic phenylacrylic benzenepropenoic benzenepropenoic hydroxycinnamic aromatic unsaturated carboxylic polyphenol polyphenol poly phenol phenolic phytochemical phyto white monoclinic crystalline crystal
coumaco,o-Coumaric acid,ortho hydroxyphenyl prop enoic propenoic hydroxycinnamic aromatic polyphenol polyphenol poly phenol phenolic phytochemical phyto
coumacp,p-Coumaric acid,para hydroxyphenyl prop enoic propenoic acrylic hydroxycinnamic aromatic polyphenol polyphenol poly phenol phenolic phytochemical phyto
caffac,Caffeic acid,dihydroxyphenyl propenoic dihydroxy cinnamic trans caffeate cinnamate dihydroxybenzeneacrylic hydroxycinnamic aromatic polyphenol polyphenol poly phenol phenolic phytochemical phyto
chlrac,Chlorogenic acid,cqa dihydroxycinnamoyl quinate quinic caffeoylquinate caffeoylquinic chlorogenate heriguard hydroxycinnamic aromatic trans ester polyphenol polyphenol poly phenol phenolic phytochemical phyto
ferac,Ferulic acid,propenoic hydroxy methoxyphenyl acrylic methoxy methoxycinnamic ferulate coniferic trans ferulic hydroxycinnamic aromatic polyphenol polyphenol poly phenol phenolic phytochemical phyto crystalline crystal powder
apigen,Apigenin,flavone flavonoid polyphenol polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical yellow pigment crystalline crystal solid trihydroxyflavone apigenine chamomile apigenol spigenin versulin aglycone glycoside
apigen6cgls,Apigenin-6-C-gluoside,6c 6 flavone flavonoid polyphenol polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment isovitexin homovitexin saponaretin
apigen7onshps,Apigenin-7-O-neohesperidoside,7o 7 flavone flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment rhoifolin
luteol,Luteolin,flavone flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical yellow pigment crystalline crystal luteolol digitoflavone flacitran luteoline
kaemf,Kaempferol,flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical yellow pigment crystalline crystal solid antioxidant kaempherol robigenin pelargidenolon rhamnolutein rhamnolutin populnetin trifolitin kempferol swartziol
querce,Quercetin,flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical yellow pigment crystalline crystal powder bitter flavor sophoretin meletin quercetine xanthaurine quercetol quercitin quertine flavin meletin
querce3bdgls,Quercetin-3-β-D-glucoside,3βd 3bd 3β 3b βd bd 3 beta b flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment isoquercetin isoquercitrin isoquercitroside isoquercitin trifoliin isotrifolin isohyperoside isotrifoliin glucopyranoside
querce3ortns,Quercetin-3-O-rutinoside,3o 3 flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment rutin rutoside sophorin phytomelin sophorin birutan eldrin globularicitrin violaquercitrin glycoside
querce3bgls,Quercetin-3-β-galactoside,3β 3b 3 beta b flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment hyperoside hyperozide hyperasid hyperosid hyperin
isormt,Isorhamnetin,flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment methylquercetin isorhamnetol isorhamentin isorhamnetine rhamnetin methoxyquercetin methylated
myrct,Myricetin,flavonol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment cannabiscetin myricetol myricitin
rsvrtol,Resvertrol,aglycone stilbenoid phenylpropanoid polyphenol poly phenol phenolic phytochemical trihydroxystilbene stilbenetriol trans phytoalexin
hespt,Hesperetin,eriodictyol flavanone flavanoid polyphenol poly phenol phenolic phytochemical
narng,Naringenin,flavanone flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical  colourless pigment bitter naringetol salipurol salipurpol trihydroxyflavanone
hespd,Hesperdin,flavanone flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment hesperetin rutinoside flavan glycoside
daidzn,Daidzein,formononetin isoflavone phytoestrogens isoflavonoid flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pale yellow pigment prism dihydroxyisoflavone daidzeol isoaurostatin
gnstein,Genistein,biochanin a isoflavone phytoestrogens isoflavonoid flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment angiogenesis inhibitor
epicatec,(-)-Epicatechin,epi catechin flavan flavanol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment antioxidant catechin
epicategc,(-)-Epigallo catechin,epigallo catechin epigallocatechin epigallocatechin flavan flavanol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment
epicatgc3gal,(-)-Epigallo catechin 3-gallate,epigallocatechin flavan flavanol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment egcg catechin
catec,(+)-Catechin,catechin catechin flavan flavanol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical colorless pigment solid antioxidant cianidanol cyanidanol catechinic catechuic cianidol dexcyanidanol trans flavanpentol
galcatecgal,(-)-Gallocatechin gallate,gallo catechin flavan flavanol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment gcg
galcatec,(-)-Gallocatechin,gallocatechin gallo catechin gallo catechin flavan flavanol flavonoid polyphenol poly phenol polyhydroxyphenol phenolic hydroxyl phytochemical pigment antioxidant gc gallocatechol
syrgac,Syringic acid,trihydroxybenzoic polyphenol polyphenol poly phenol phenolic phytochemical
sinpac,Sinapinic acid,sinapic dimethoxycinnamic hydroxycinnamic aromatic polyphenol polyphenol poly phenol phenolic phytochemical
ellgac,Ellagic acid,dilactone hexahydroxydiphenic polyphenol polyphenol poly phenol phenolic aromatic phytochemical antioxidant antiproliferative
polyph,Polyphenols,total poly phenol phenolic phytochemical
rafs,Raffinose,rafinosa gossypose melitose melitriose galactosylsucrose fructofuranosyl galactopyranosyl glucopyranoside trisaccharide oligosaccharide carbohydrate
stas,Stachyose,fructofuranosyl galactopyranosyl glucopyranoside tetrasaccharide oligosaccharide carbohydrate
vers,Verbascose,pentasaccharide oligosaccharide carbohydrate
ajgs,Ajugose,hexasaccharide oligosaccharide carbohydrate
camt,Campesterol,phytosterol plant sterol phytosteroid steroid alcohol campestanol
stgstr,Stigmasterol,phytosterol plant sterol phytosteroid steroid alcohol unsaturated white solid wulzen anti stiffness factor
stostrb,β-Sitosterol,b beta phytosterol plant sterol phytosteroid steroid alcohol white waxy powder soild
phytac,Phytate,ip6 ip 6 phytic inositol hexakisphosphate polyphosphate cyclohexane hexayl hexakis dihydrogen phosphate salt saturated cyclic acid
sapon,Saponins,total triterpene triterpenoid glycoside amphipathic lipophilic hydrophilic soap foaming
vitb,Vitamin B,total vitamin b
vitd,Vitamin D,total vitamin d
vitk,Vitamin K,total vitamin k
tocph,Tocopherols,total tocopherol tcp methylated phenol vitamin e antioxidant
toctr,Tocotrienols,total tocotrienol vitamin e antioxidant
amiace,Essential Amino acids,total essential
amiacce,Conditionally essential Amino acids,total
amiacne,Non-essential Amino acids,total
amiac,Amino acids,total amino acid
orgac,Organic acids,total organic acid
fauns,Unsaturated Fatty acids,total fat lipid profile good healthy tufa ufa
faess,Essential Fatty acids,total fat lipid profile good healthy tefa efa
facn3,Cis ω-3 Fatty acids,total fat lipid profile good healthy omega ω3 w3 w 3
facn6,Cis ω-6 Fatty acids,total fat lipid profile good healthy omega ω6 w6 w 6
facn9,Cis ω-9 Fatty acids,total fat lipid profile good healthy omega ω9 w9 w 9
facn5,Cis ω-5 Fatty acids,total fat lipid profile good healthy omega ω5 w5 w 5
facn7,Cis ω-7 Fatty acids,total fat lipid profile good healthy omega ω7 w7 w 7
